plant_id,plant_lat,plant_lon,TZ,UTCOffset
1002,39.6561,-85.1758,America/Indiana/Indianapolis,-5
1004,38.8067,-87.2472,America/Indiana/Vincennes,-5
1007,40.0969,-85.9714,America/Indiana/Indianapolis,-5
1008,38.2636,-85.8381,America/Kentucky/Louisville,-5
1010,39.53,-87.4247,America/Indiana/Indianapolis,-5
1011,37.9694,-87.6044,America/Chicago,-6
1012,37.91,-87.3267,America/Chicago,-6
1016,35.0986,-78.8294,America/New_York,-5
1040,39.8028,-84.8953,America/Indiana/Indianapolis,-5
1043,38.5201,-87.2662,America/Indiana/Petersburg,-5
1046,42.506,-90.6527,America/Chicago,-6
1047,43.3359,-91.1672,America/Chicago,-6
1048,41.8081,-90.2345,America/Chicago,-6
1058,41.9839,-91.6686,America/Chicago,-6
1068,42.0474,-92.8594,America/Chicago,-6
1073,41.9439,-91.6386,America/Chicago,-6
1077,42.0472,-92.8627,America/Chicago,-6
1081,41.5404,-90.4483,America/Chicago,-6
1082,41.18,-95.8408,America/Chicago,-6
1091,42.3251,-96.3797,America/Chicago,-6
1104,40.7412,-91.1168,America/Chicago,-6
1105,40.7478,-92.8731,America/Chicago,-6
1122,42.0247,-93.6069,America/Chicago,-6
1131,42.5267,-92.4394,America/Chicago,-6
1167,41.3917,-91.0569,America/Chicago,-6
1175,41.3981,-92.9144,America/Chicago,-6
1206,41.1141,-94.3499,America/Chicago,-6
1217,43.1606,-95.2569,America/Chicago,-6
1218,41.4569,-90.8233,America/Chicago,-6
1230,37.1611,-100.7619,America/Chicago,-6
1233,37.7328,-99.9497,America/Chicago,-6
1235,38.41,-98.8689,America/Chicago,-6
1239,37.0719,-94.6986,America/Chicago,-6
1240,37.7903,-97.5217,America/Chicago,-6
1241,38.3472,-94.6389,America/Chicago,-6
1242,37.5956,-97.4131,America/Chicago,-6
1243,37.3062,-95.1118,America/Chicago,-6
1248,38.0906,-97.8747,America/Chicago,-6
1250,39.0072,-95.2692,America/Chicago,-6
1251,38.8831,-97.2014,America/Chicago,-6
1252,39.0522,-95.5669,America/Chicago,-6
1268,37.6953,-95.4586,America/Chicago,-6
1271,37.0456,-95.6076,America/Chicago,-6
1295,39.1486,-94.6405,America/Chicago,-6
1305,38.3461,-97.6761,America/Chicago,-6
1336,37.9703,-100.8956,America/Chicago,-6
1353,38.1707,-82.6176,America/New_York,-5
1355,37.7889,-84.7139,America/New_York,-5
1356,38.7497,-85.035,America/New_York,-5
1357,37.3636,-87.1214,America/Chicago,-6
1361,38.0478,-84.8483,America/New_York,-5
1363,38.1828,-85.8894,America/Kentucky/Louisville,-5
1364,38.0531,-85.91,America/Kentucky/Louisville,-5
1366,38.2147,-85.8453,America/Kentucky/Louisville,-5
1374,37.7958,-87.0597,America/Chicago,-6
1378,37.2608,-86.9783,America/Chicago,-6
1379,37.1517,-88.775,America/Chicago,-6
1381,37.9628,-86.7917,America/Chicago,-6
1382,37.6472,-87.5028,America/Chicago,-6
1383,37.6467,-87.5033,America/Chicago,-6
1384,37.0,-84.5917,America/New_York,-5
1385,37.8807,-84.2634,America/New_York,-5
1391,30.4903,-91.1875,America/Chicago,-6
1393,30.2861,-93.2917,America/Chicago,-6
1394,30.2743,-91.1164,America/Chicago,-6
1396,30.8442,-92.2606,America/Chicago,-6
1400,29.8223,-91.5427,America/Chicago,-6
1402,30.0033,-90.4611,America/Chicago,-6
1403,29.9472,-90.1458,America/Chicago,-6
1404,32.7047,-92.0792,America/Chicago,-6
1407,30.0158,-90.0258,America/Chicago,-6
1409,30.0081,-89.9372,America/Chicago,-6
1416,32.5181,-93.7611,America/Chicago,-6
1417,32.7047,-93.9597,America/Chicago,-6
1439,29.5808,-90.7222,America/Chicago,-6
1443,30.2368,-92.0476,America/Chicago,-6
1448,32.5278,-92.1278,America/Chicago,-6
1449,29.6916,-91.1887,America/Chicago,-6
1450,31.7705,-93.0952,America/Chicago,-6
1464,30.6736,-91.3525,America/Chicago,-6
1507,43.75,-70.1569,America/New_York,-5
1552,39.3269,-76.365,America/New_York,-5
1553,39.2661,-76.6042,America/New_York,-5
1554,39.1781,-76.5268,America/New_York,-5
1556,39.4422,-76.2208,America/New_York,-5
1559,39.2369,-76.5133,America/New_York,-5
1560,39.2719,-76.6186,America/New_York,-5
1564,38.4878,-75.8208,America/New_York,-5
1570,39.595,-77.8269,America/New_York,-5
1571,38.5444,-76.6861,America/New_York,-5
1572,39.2086,-77.4644,America/New_York,-5
1573,38.3592,-76.9767,America/New_York,-5
1586,42.2672,-71.3983,America/New_York,-5
1587,42.3406,-71.035,America/New_York,-5
1588,42.3917,-71.0667,America/New_York,-5
1592,42.1364,-71.4478,America/New_York,-5
1594,42.3636,-71.1161,America/New_York,-5
1595,42.3633,-71.0792,America/New_York,-5
1599,41.7694,-70.5097,America/New_York,-5
1606,42.2814,-72.6053,America/New_York,-5
1613,41.737,-71.146,America/New_York,-5
1619,41.7125,-71.1914,America/New_York,-5
1626,42.5267,-70.8792,America/New_York,-5
1631,42.4431,-73.2061,America/New_York,-5
1642,42.0956,-72.5958,America/New_York,-5
1643,42.3362,-73.2352,America/New_York,-5
1660,42.235,-70.9672,America/New_York,-5
1678,42.5428,-70.9236,America/New_York,-5
1682,41.8653,-71.1061,America/New_York,-5
1695,43.2542,-86.2417,America/Detroit,-5
1702,43.6425,-83.8431,America/Detroit,-5
1710,42.9103,-86.2036,America/Detroit,-5
1719,43.1568,-83.6285,America/Detroit,-5
1720,43.6425,-83.8431,America/Detroit,-5
1723,41.7917,-83.4486,America/Detroit,-5
1726,42.3597,-82.9611,America/Detroit,-5
1728,42.2947,-83.1019,America/Detroit,-5
1730,42.5497,-83.4425,America/Detroit,-5
1731,43.8519,-82.6436,America/Detroit,-5
1732,42.9258,-82.4606,America/Detroit,-5
1733,41.8917,-83.3461,America/Detroit,-5
1740,42.2733,-83.1131,America/Detroit,-5
1743,42.7642,-82.4719,America/Detroit,-5
1745,42.1236,-83.1811,America/Detroit,-5
1769,46.5789,-87.395,America/Detroit,-5
1822,42.3038,-83.0904,America/Detroit,-5
1825,43.0722,-86.2342,America/Detroit,-5
1830,42.7956,-86.1133,America/Detroit,-5
1831,42.7183,-84.5586,America/Detroit,-5
1832,42.6919,-84.6572,America/Detroit,-5
1843,46.5314,-87.3917,America/Detroit,-5
1866,42.2081,-83.1453,America/Detroit,-5
1888,43.6728,-94.7074,America/Chicago,-6
1891,47.5306,-92.1619,America/Chicago,-6
1893,47.2603,-93.6531,America/Chicago,-6
1897,46.7356,-92.1531,America/Chicago,-6
1904,44.8108,-93.2501,America/Chicago,-6
1912,44.9331,-93.1075,America/Chicago,-6
